"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
21,"1","No Trucks","2025-01-24T08:56:31.036980Z",14440,"/data/upload/3/4e62f785-img_520.jpg",26.525,"2025-01-24T08:56:31.036999Z"
22,"1","Trucks","2025-01-24T08:56:52.916767Z",14441,"/data/upload/3/4ba5a33b-img_521.jpg",7.284,"2025-01-24T08:56:52.916784Z"
23,"1","No Trucks","2025-01-24T08:56:58.375820Z",14442,"/data/upload/3/b2f95223-img_522.jpg",3.709,"2025-01-24T08:56:58.375946Z"
24,"1","No Trucks","2025-01-24T08:57:09.392770Z",14443,"/data/upload/3/72335ffe-img_523.jpg",9.791,"2025-01-24T08:57:09.392789Z"
25,"1","No Trucks","2025-01-24T08:57:14.543483Z",14444,"/data/upload/3/e42adfbd-img_524.jpg",4.082,"2025-01-24T08:57:14.543502Z"
26,"1","No Trucks","2025-01-24T08:57:21.842555Z",14445,"/data/upload/3/7d3bd5b7-img_525.jpg",5.657,"2025-01-24T08:57:21.842571Z"
27,"1","No Trucks","2025-01-24T08:57:26.493637Z",14446,"/data/upload/3/a77b9f69-img_526.jpg",3.057,"2025-01-24T08:57:26.493655Z"
28,"1","No Trucks","2025-01-24T08:57:32.341678Z",14447,"/data/upload/3/82883bb2-img_527.jpg",4.281,"2025-01-24T08:57:32.341700Z"
29,"1","No Trucks","2025-01-24T08:57:46.145099Z",14448,"/data/upload/3/f41c30ad-img_528.jpg",4.268,"2025-01-24T08:57:46.145116Z"
30,"1","Trucks","2025-01-24T08:57:54.010458Z",14449,"/data/upload/3/3d50c7e9-img_529.jpg",6.005,"2025-01-24T08:57:54.010475Z"
31,"1","Trucks","2025-01-24T08:58:00.642541Z",14450,"/data/upload/3/7e59e2b8-img_530.jpg",5.391,"2025-01-24T08:58:00.642560Z"
32,"1","Trucks","2025-01-24T08:58:05.309421Z",14451,"/data/upload/3/4cca68f1-img_531.jpg",2.936,"2025-01-24T08:58:05.309442Z"
33,"1","No Trucks","2025-01-24T08:58:09.809513Z",14452,"/data/upload/3/b3aa4e38-img_532.jpg",2.577,"2025-01-24T08:58:09.809531Z"
34,"1","No Trucks","2025-01-24T08:58:13.626407Z",14453,"/data/upload/3/7f5a2bd4-img_533.jpg",2.8,"2025-01-24T08:58:13.626424Z"
35,"1","Trucks","2025-01-24T08:58:18.682206Z",14454,"/data/upload/3/4b5ab3fb-img_534.jpg",2.961,"2025-01-24T08:58:18.682224Z"
36,"1","No Trucks","2025-01-24T08:58:23.525977Z",14455,"/data/upload/3/d7c44d9d-img_535.jpg",3.066,"2025-01-24T08:58:23.525993Z"
37,"1","No Trucks","2025-01-24T08:58:28.302784Z",14456,"/data/upload/3/8595b0b4-img_536.jpg",2.906,"2025-01-24T08:58:28.302802Z"
38,"1","No Trucks","2025-01-24T08:58:32.726616Z",14457,"/data/upload/3/45298820-img_537.jpg",3.257,"2025-01-24T08:58:32.726633Z"
39,"1","Trucks","2025-01-24T08:58:37.175801Z",14458,"/data/upload/3/42300d22-img_538.jpg",3.066,"2025-01-24T08:58:37.175818Z"
40,"1","Trucks","2025-01-24T08:58:41.025989Z",14459,"/data/upload/3/a4d5cac1-img_539.jpg",2.746,"2025-01-24T08:58:41.026009Z"
